Date,Open,High,Low,Close,Volume
2022-01-27,4562.7402,4574.8501,4530.9600,4562.7402,0
2022-01-28,4542.8599,4595.9199,4542.8599,4542.8599,0
2022-01-31,4548.4502,4597.5801,4542.8599,4548.4502,0
2022-02-01,4598.7202,4617.2900,4547.3301,4598.7202,0
2022-02-02,4555.3799,4620.0400,4555.3799,4555.3799,0
2022-02-03,4454.9702,4555.3799,4454.9702,4454.9702,0
2022-02-04,4425.5200,4513.7500,4422.7998,4425.5200,0
2022-02-07,4474.1001,4480.2700,4425.5200,4474.1001,0
2022-02-08,4582.6201,4591.8198,4468.9199,4582.6201,0
2022-02-09,4605.0801,4617.9399,4582.6201,4605.0801,0
2022-02-10,4641.5298,4642.5698,4592.2798,4641.5298,0
2022-02-11,4652.2100,4686.5801,4615.9902,4652.2100,0
2022-02-14,4604.6201,4652.2100,4589.5498,4604.6201,0
2022-02-15,4643.6899,4663.2100,4604.6201,4643.6899,0
2022-02-16,4653.0400,4667.9502,4614.9102,4653.0400,0
2022-02-17,4549.0801,4653.0400,4544.8999,4549.0801,0
2022-02-18,4549.0698,4571.1899,4534.6699,4549.0698,0
2022-02-21,4525.7998,4559.2300,4479.9102,4525.7998,0
2022-02-22,4472.8599,4525.8701,4432.4800,4472.8599,0
2022-02-23,4375.6899,4503.9199,4374.5898,4375.6899,0
2022-02-24,4399.6001,4399.6001,4223.3599,4399.6001,0
2022-02-25,4465.5098,4482.1699,4399.6001,4465.5098,0
2022-02-28,4534.4702,4534.4702,4453.9502,4534.4702,0
2022-03-01,4435.1699,4537.3701,4434.3101,4435.1699,0
2022-03-02,4487.3701,4509.9102,4435.1699,4487.3701,0
2022-03-03,4571.7998,4581.2998,4487.3701,4571.7998,0
2022-03-04,4641.4502,4641.7500,4566.3198,4641.4502,0
2022-03-07,4618.0698,4692.9902,4559.9502,4618.0698,0
2022-03-08,4578.6802,4624.0400,4549.8301,4578.6802,0
2022-03-09,4656.0298,4661.7500,4578.6802,4656.0298,0
2022-03-10,4608.9702,4687.7100,4564.1499,4608.9702,0
2022-03-11,4633.3501,4676.0098,4608.9702,4633.3501,0
2022-03-14,4588.4902,4645.3901,4587.5200,4588.4902,0
2022-03-15,4623.0400,4637.7402,4582.4199,4623.0400,0
2022-03-16,4695.4102,4715.0801,4623.0400,4695.4102,0
2022-03-17,4789.8799,4841.2700,4695.4102,4789.8799,0
2022-03-18,4854.4399,4860.1299,4789.8799,4854.4399,0
2022-03-21,4994.6699,4996.4600,4775.4702,4994.6699,0
2022-03-22,4888.1802,4995.6299,4885.2798,4888.1802,0
2022-03-23,4841.4600,4899.0298,4819.0400,4841.4600,0
2022-03-24,4954.5098,4954.5098,4841.4600,4954.5098,0
2022-03-25,4965.1099,4978.5200,4928.0801,4965.1099,0
2022-03-28,4938.7998,5009.3701,4917.7998,4938.7998,0
2022-03-29,4914.7300,4938.7998,4889.0298,4914.7300,0
2022-03-30,4894.9800,4923.5498,4871.0698,4894.9800,0
2022-03-31,4936.9702,4940.2500,4875.7402,4936.9702,0
2022-04-01,4978.4902,4994.5200,4936.9702,4978.4902,0
2022-04-04,4992.2900,5011.0801,4953.6401,4992.2900,0
2022-04-05,4929.1001,4992.2900,4921.7500,4929.1001,0
2022-04-06,4971.9399,4971.9399,4891.2202,4971.9399,0
2022-04-07,4965.3198,4989.2598,4946.1602,4965.3198,0
2022-04-08,4969.2500,4997.0200,4947.5801,4969.2500,0
2022-04-11,4918.7900,4969.2500,4870.1602,4918.7900,0
2022-04-12,4909.0400,4939.8501,4862.6299,4909.0400,0
2022-04-13,4921.4600,4949.1899,4909.0400,4921.4600,0
2022-04-14,4917.2998,4939.5098,4917.2998,4917.2998,0
2022-04-18,4867.6401,4932.9902,4865.7500,4867.6401,0
2022-04-19,4911.7700,4938.7402,4867.6401,4911.7700,0
